"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access"
"Advancing autonomous network optimization: A DevOps-based framework for self-healing telecommunications networks","https://scispace.com/papers/advancing-autonomous-network-optimization-a-devops-based-3bzcpk2gva30","2021","Journal Article","Open access research journal of multidisciplinary studies","Alan Collins
Oladimeji Hamza
Adeoluwa Eweje","10.53022/oarjms.2021.2.1.0042","","No"
"Self-Healing in Knowledge-Driven Autonomous Networks: Context, Challenges, and Future Directions","https://scispace.com/papers/self-healing-in-knowledge-driven-autonomous-networks-context-5cksvfk8gf","2024","Journal Article","IEEE Network","Honglin Fang
Peng Yu
Cheng Tan
Junye Zhang
Defu Lin
Liyan Zhang
Yong Zeng
Wenjing Li
Luoming Meng","10.1109/mnet.2024.3416850","","No"
"Frequency drift correction in subscriber terminals","https://scispace.com/papers/frequency-drift-correction-in-subscriber-terminals-2hr4vwgcbw","1996","Patent","","Allan Evans
Horen Chen","","","No"
"Self-Healing Infrastructure: Leveraging Reinforcement Learning for Autonomous Cloud Recovery and Enhanced Resilience","https://scispace.com/papers/self-healing-infrastructure-leveraging-reinforcement-gum9060pdc7k","2025","Journal Article","Journal of Information Systems Engineering and Management","Rohit Laheri","10.52783/jisem.v10i49s.9888","","No"
"Learning Recovery Strategies for Dynamic Self-healing in Reactive Systems","https://scispace.com/papers/learning-recovery-strategies-for-dynamic-self-healing-in-1ng3af1sjr","2024","Journal Article","","Mateo Sanabria
Ivana Dusparić
Nicolás Cardozo","10.1145/3643915.3644097","","No"
"Event-Driven Self-Healing Infrastructure: A Conceptual Framework for Intelligent Automation in Site Reliability Engineering","https://scispace.com/papers/event-driven-self-healing-infrastructure-a-conceptual-puujcpqj5vwd","2025","Journal Article","Journal of Information Systems Engineering and Management","Sunil Agarwal","10.52783/jisem.v10i57s.12320","","No"
"Drift management of images","https://scispace.com/papers/drift-management-of-images-3t7vd6njv6","2015","Patent","","Balasubrahmanyam Kuchibhotla
Bharat Paliwal
Hariprasanna Srinivasan
Kamaldeep Khanuja
Shachi Sanklecha
Ramalakshmi Vaidhiyanathan","","","No"
"Root Cause Analysis and Proactive Problem Prediction for Self-Healing","https://scispace.com/papers/root-cause-analysis-and-proactive-problem-prediction-for-3ff9k8moss","2007","Proceedings Article","International Conference on Convergence Information Technology","Shunshan Piao
Jeongmin Park
Eunseok Lee","10.1109/ICCIT.2007.340","","No"
"Decawave UWB Clock Drift Correction and Power Self-Calibration","https://scispace.com/papers/decawave-uwb-clock-drift-correction-and-power-self-4v2fwcdg9w","2019","Journal Article","Sensors","Juri Sidorenko
Volker Schatz
Norbert Scherer-Negenborn
Michael Arens
Urs Hugentobler","10.3390/S19132942","","Yes"
"Real-time correction method for spectral drift of PET detector and correction system for spectral drift","https://scispace.com/papers/real-time-correction-method-for-spectral-drift-of-pet-1v4osbhau6","2018","Patent","","Tian Libo
Sun Dehui","","","No"
"A survey of self-healing systems frameworks","https://scispace.com/papers/a-survey-of-self-healing-systems-frameworks-16k78jxwkn","2015","Journal Article","Software - Practice and Experience","Chris L. Schneider
Adam Barker
Simon Dobson","10.1002/SPE.2250","https://scispace.com/pdf/a-survey-of-self-healing-systems-frameworks-16k78jxwkn.pdf","Yes"
"Multiple linear regression based parameter influencer model of a Self-healing network","https://scispace.com/papers/multiple-linear-regression-based-parameter-influencer-model-2anwwc3i1d","2011","Proceedings Article","International Workshop on Security","HP Raghunandan
Smita Bedekar","10.1109/IWSCN.2011.6827716","","No"
"Drift correction in periodic crosscorrelation schemes","https://scispace.com/papers/drift-correction-in-periodic-crosscorrelation-schemes-3x1n0mhnqw","1968","Journal Article","Electronics Letters","R.F. Brown","10.1049/EL:19680374","","No"
"Autonomous Self-Adaptation in the Cloud: ML-Heal’s Framework for Proactive Fault Detection and Recovery","https://scispace.com/papers/autonomous-self-adaptation-in-the-cloud-ml-heals-framework-k3hmrqevrela","2025","Journal Article","International Journal of Advanced Computer Science and Applications","Qais Al-Na’amneh
Mahmoud Aljawarneh
Rahaf Hazaymih
Ayoub Alsarhan
Khalid Hamad Alnafisah
Nayef H. Alshammari
Sami Aziz Alshammari","10.14569/ijacsa.2025.0160892","","No"
"Self-Healing of Operational Workflow Incidents on Distributed Computing Infrastructures","https://scispace.com/papers/self-healing-of-operational-workflow-incidents-on-3acq6cipue","2012","Proceedings Article","Cluster Computing and the Grid","Rafael Ferreira da Silva
Tristan Glatard
Frédéric Desprez","10.1109/CCGRID.2012.24","https://scispace.com/pdf/self-healing-of-operational-workflow-incidents-on-3acq6cipue.pdf","Yes"
"Scalable GitOps Models for Multi-Cloud Infrastructure as Code Deployment","https://scispace.com/papers/scalable-gitops-models-for-multi-cloud-infrastructure-as-mqyy0svwe2i4","2022","Journal Article","International journal of computing and engineering","Sri Ramya Deevi","10.47941/ijce.3190","","No"
"Terraform: Streamlining Infrastructure Deployment and Management Through Infrastructure as Code","https://scispace.com/papers/terraform-streamlining-infrastructure-deployment-and-5d585yxp3k","2023","Proceedings Article","","Abbas Mehdi
Ranjan Walia","10.1109/icccis60361.2023.10425616","","No"
"Terraform: Infrastructure as Code","https://scispace.com/papers/terraform-infrastructure-as-code-vdc83lufey","2023","Book Chapter","","","10.1007/979-8-8688-0074-0_1","","No"
"End-To-End Automation of Multi-Cloud Deployments Using Terraform, Ansible, and Kubernetes","https://scispace.com/papers/end-to-end-automation-of-multi-cloud-deployments-using-cq2x3viq5uth","2020","Journal Article","International journal of innovative research in engineering & multidisciplinary physical sciences","Ravi Chandra Thota -","10.37082/ijirmps.v8.i4.232184","","No"
"Enterprise Cloud Infrastructure Automation and Platform Engineering for Multi-Cloud Global Systems","https://scispace.com/papers/enterprise-cloud-infrastructure-automation-and-platform-mdkg6qr5qdu2","2025","Journal Article","Journal of Information Systems Engineering and Management","Lakshmi Priyanka Pillati","10.52783/jisem.v10i57s.12545","","No"
"Terraform and AWS CDK: A Comparative Analysis of Infrastructure Management Tools","https://scispace.com/papers/terraform-and-aws-cdk-a-comparative-analysis-of-2mtfanj6nfhl","2024","Journal Article","","João Frois
Lucas Padrão
Johnatan Oliveira
Laerte Xavier
Cleiton Silva Tavares","10.5753/sbes.2024.3577","","No"
"Terraform","https://scispace.com/papers/terraform-33o2fher","2022","Book Chapter","","Moshe Zadka","10.1007/978-1-4842-7996-0_15","","No"
"Infrastructure From Code: The Next Generation of Cloud Lifecycle Automation","https://scispace.com/papers/infrastructure-from-code-the-next-generation-of-cloud-3q2oje9n","2023","Journal Article","IEEE Software","Itzhak Aviv
Ruti Gafni
Sofia Sherman
Berta Aviv
Asher Sterkin
Etzik Bega","10.1109/MS.2022.3209958","","No"
"Business Solutions with Infrastructure as Code","https://scispace.com/papers/business-solutions-with-infrastructure-as-code-1ldxvavn","2022","Book Chapter","","","10.1007/978-1-4842-8689-0_5","","No"
"Optimizing DevOps Pipelines with Automation: Ansible and Terraform in AWS Environments","https://scispace.com/papers/optimizing-devops-pipelines-with-automation-ansible-and-32o5hbap2jsu","2024","Journal Article","International journal of scientific research in science, engineering and technology","Venkat Marella","10.32628/ijsrset2410614","","No"
"Decentralizing Infrastructure as Code","https://scispace.com/papers/decentralizing-infrastructure-as-code-2jtei9im","2023","Journal Article","IEEE Software","","10.1109/ms.2022.3192968","","No"
"DevOps Dynamics: Tools Driving Continuous Integration and Deployment","https://scispace.com/papers/devops-dynamics-tools-driving-continuous-integration-and-2rfvkhom7fuj","2024","Proceedings Article","","Pradeep Gopal Gowda
Norton Stanley S A
Josephine Eskaline Joyce","10.1109/iciteics61368.2024.10624986","","No"
"Terraform -- Automating Infrastructure as a Service","https://scispace.com/papers/terraform-automating-infrastructure-as-a-service-2koqcrxz","2022","Posted Content","","Andre Lukas","10.48550/arxiv.2205.10676","https://scispace.com/pdf/terraform-automating-infrastructure-as-a-service-2koqcrxz.pdf","Yes"
"Enhancing Devops Infrastructure For Efficient Management Of Microservice Applications","https://scispace.com/papers/enhancing-devops-infrastructure-for-efficient-management-of-2w2ey0d4q2","2023","Proceedings Article","","E.M.I.M Ekanayaka
J.K.K.H Thathsarani
D.S Karunanayaka
N. Kuruwitaarachchi
N. Skandakumar","10.1109/icebe59045.2023.00035","","No"
"Infrastructure as Code als Maßnahme zur Cloud Automatisierung – Hilfestellung zur Auswahl des richtigen Werkzeugs","https://scispace.com/papers/infrastructure-as-code-als-masnahme-zur-cloud-ive8j7vjpw","2020","Journal Article","Praxis Der Wirtschaftsinformatik","Abdullah Özel
Tobias Pautz
Nikolaus Schmidt","10.1365/S40702-020-00657-0","https://scispace.com/pdf/infrastructure-as-code-als-masnahme-zur-cloud-ive8j7vjpw.pdf","Yes"
"Automating CI/CD Pipelines Using Terraform and GitLab: Best Practices for Scalability and Efficiency","https://scispace.com/papers/automating-ci-cd-pipelines-using-terraform-and-gitlab-best-inhohvuculro","2025","Journal Article","Deleted Journal","Naga Murali Krishna Koneru","10.55640/ijefms/volume10issue04-03","","No"
"A Conceptual Model for Secure DevOps Architecture Using Jenkins, Terraform, and Kubernetes","https://scispace.com/papers/a-conceptual-model-for-secure-devops-architecture-using-02omcpfe93s8","2023","Journal Article","International Journal of Multidisciplinary Research and Growth Evaluation","Adewale O Adebayo
Afeez A Afuwape
Ayorinde Olayiwola Akindemowo
Eseoghene Daniel Erigha
Ehimah Obuse
Joshua Oluwagbenga Ajayi
Olabode Michael Soneye","10.54660/.ijmrge.2023.4.1.1300-1317","","No"
"Automatic deployment method for application cluster architecture based on Terraform and Ansible","https://scispace.com/papers/automatic-deployment-method-for-application-cluster-1qejsduw27","2019","Patent","","Zhao Jianchang
Zhao Shan
Wang Yang
Yang Chao
Li Ying","","","No"
"Enhancing DevOps Efficiency: Best Practices for Cloud Infrastructure Management","https://scispace.com/papers/enhancing-devops-efficiency-best-practices-for-cloud-mxwdvm2k20vm","2025","Journal Article","","Anthony Carignan
Olanite Enoch","10.20944/preprints202503.1143.v1","","No"
"CloudCAMP: Automating Cloud Services Deployment and Management","https://scispace.com/papers/cloudcamp-automating-cloud-services-deployment-and-3s78gzbxla","2019","Posted Content","arXiv: Software Engineering","Anirban Bhattacharjee
Yogesh Barve
Aniruddha Gokhale
Takayuki Kuroda","","https://arxiv.org/pdf/1904.02184","Yes"
"An Advanced DevOps Environment for Microservice-based Applications","https://scispace.com/papers/an-advanced-devops-environment-for-microservice-based-4gswsssohr","2021","Proceedings Article","Service Oriented Software Engineering","Stefan Throner
Heiko Hutter
Niklas Sanger
Michael Schneider
Simon Hanselmann
Patrick Petrovic
Sebastian Abeck","10.1109/SOSE52839.2021.00020","","No"
"(WIP) CloudCAMP: Automating the Deployment and Management of Cloud Services","https://scispace.com/papers/wip-cloudcamp-automating-the-deployment-and-management-of-4nar4e7xw8","2018","Proceedings Article","IEEE International Conference on Services Computing","Anirban Bhattacharjee
Yogesh Barve
Aniruddha Gokhale
Takayuki Kuroda","10.1109/SCC.2018.00038","","No"
"Enhancing cloud application devops using dynamically tailored deployment engines","https://scispace.com/papers/enhancing-cloud-application-devops-using-dynamically-1adwfpmqdl","2016","Journal Article","IEEE International Conference on Cloud Computing Technology and Science","Johannes Wettinger
Uwe Breitenbücher
Frank Leymann","10.29268/STCC.2016.0002","http://www.hipore.com/stcc/2016/IJCC-Vol4-No1-2016b.pdf","Yes"
"Enabling DevOps Collaboration and Continuous Delivery Using Diverse Application Environments","https://scispace.com/papers/enabling-devops-collaboration-and-continuous-delivery-using-18e9wb6f2d","2015","Book Chapter","","Johannes Wettinger
Vasilios Andrikopoulos
Frank Leymann","10.1007/978-3-319-26148-5_23","","No"
"Comparative Analysis of GitOps Tools and Frameworks","https://scispace.com/papers/comparative-analysis-of-gitops-tools-and-frameworks-ir3b99c32f4g","2025","Journal Article","Traektoriâ Nauki","Abiola Samuel Ajayi
Oriyomi Badmus
Godwin Okechukwu Iheuwa
Lucky Ehizojie
Shokenu Emmanuel Segun","10.22178/pos.117-9","","No"
"Особливості автоматичного розгортання інфраструктури як коду для хмарних сервісів","https://scispace.com/papers/osoblivosti-avtomatichnogo-rozgortannia-infrastrukturi-iak-4p5tw4u2hu","2024","Journal Article","Sistemi upravlìnnâ, navìgacìï ta zvʼâzku","Oleg Koptsev
Vitalii Martovytskyi
Nataliia Bolohova
Ilko Fedak","10.26906/sunz.2024.1.104","https://scispace.com/pdf/osoblivosti-avtomatichnogo-rozgortannia-infrastrukturi-iak-4p5tw4u2hu.pdf","No"
"Integrasi Infrastructure as Code dengan Continuous Integration/Continuous Deployment di Google Cloud Platform","https://scispace.com/papers/integrasi-infrastructure-as-code-dengan-continuous-4z8nueg6uyav","2024","Journal Article","Jurnal Fasilkom","Deden Setyawan Wayan
Piarsa I Nyoman
Putu Wira Buana","10.37859/jf.v14i2.7236","","No"
"Infraestrutura como Código: A prova de conceito para o melhor resultado em uma pipeline de desenvolvimento de software","https://scispace.com/papers/infraestrutura-como-codigo-a-prova-de-conceito-para-o-melhor-alepk6nqvr","2024","Journal Article","","Denis B. Citadin
Arthur Francisco Lorenzon","10.5753/eradrs.2024.238663","","No"
"An Overview of Infrastructure as Code (IaC) with Performance and Availability Assessment on Google Cloud Platform","https://scispace.com/papers/an-overview-of-infrastructure-as-code-iac-with-performance-4cr8c0q39i","2024","Book Chapter","","Hongyu Wang
Brian Kishiyama
Dolores Romero López
Jeong Yang","10.1007/978-3-031-56950-0_41","","No"
